last_date	country	total_money
2025/12/31	中国	5825
2025/12/31	印度	1710483
2025/12/31	印度尼西亚	2036937
2025/12/31	叙利亚	0
2025/12/31	土耳其	5639
2025/12/31	墨西哥	3117
2025/12/31	巴西	1081921
2025/12/31	新加坡	0
2025/12/31	秘鲁	462
2025/12/31	美国	728
2025/12/31	英国	793
2025/12/31	菲律宾	10058
2025/12/31	马来西亚	17745
	中国	32116
	中国	19648
	中国	14749
	中国	5743
	中国	38984
	中国	4865
	伊朗	2314
	伊朗	7855
	伊朗	157
	伊朗	4691
	伊朗	2979
	伊朗	247
	俄罗斯	532
	加拿大	11060
	加拿大	2113
	南非	120
	印度	8603576
	印度	3159923
	印度	1257184
	印度	1067230
	印度	624498
	印度	561956
	印度	709285
	印度	1002881
	印度	726408
	印度尼西亚	841516
	印度尼西亚	767325
	印度尼西亚	1288929
	印度尼西亚	1055971
	印度尼西亚	639362
	印度尼西亚	526963
	印度尼西亚	494249
	印度尼西亚	5427441
	印度尼西亚	4175632
	厄瓜多尔	154
	厄瓜多尔	1609
	厄瓜多尔	121
	厄瓜多尔	789
	古巴	3135
	哈萨克斯坦	474
	哈萨克斯坦	1118
	哈萨克斯坦	2649
	哥伦比亚	1256
	哥伦比亚	263
	哥斯达黎加	13028
	土耳其	677
	土耳其	275
	土耳其	2260
	土耳其	1200
	土耳其	859
	墨西哥	8791
	墨西哥	157
	墨西哥	1274
	墨西哥	3996
	墨西哥	1405
	墨西哥	1009
	墨西哥	4788
	墨西哥	1564
	委内瑞拉	430
	委内瑞拉	1558
	尼加拉瓜	1150
	尼加拉瓜	2005
	巴基斯坦	5924
	巴基斯坦	785
	巴基斯坦	942
	巴拉圭	258
	巴拉圭	1106
	巴拉圭	316
	巴拿马	262
	巴西	507044
	巴西	459750
	巴西	835622
	巴西	387523
	巴西	644316
	巴西	786164
	巴西	2074707
	巴西	468637
	巴西	7789344
	德国	1312
	德国	154
	意大利	942
	意大利	140
	斯洛伐克	141
	斯洛伐克	282
	斯洛伐克	2455
	新加坡	119
	新加坡	8710
	新加坡	1724
	新加坡	0
	新加坡	0
	新加坡	892
	日本	1138
	日本	3455
	比利时	316
	法国	471
	法国	148
	波兰	314
	波多黎各	454
	泰国	2682
	泰国	1871
	泰国	115
	洪都拉斯	0
	秘鲁	115
	立陶宛	3838
	美国	636
	美国	121
	美国	393
	美国	469
	美国	3108
	美国	644
	美国	1924
	美国	262
	英国	119
	英国	154
	英国	287
	英国	1385
	荷兰	508
	菲律宾	16834
	菲律宾	25591
	菲律宾	25758
	菲律宾	15586
	菲律宾	17520
	菲律宾	23367
	菲律宾	10862
	菲律宾	27210
	菲律宾	12191
	萨尔瓦多	778
	蒙古	532
	西班牙	8423
	越南	1077
	越南	510
	阿尔及利亚	399
	阿根廷	2351
	阿根廷	5613
	阿根廷	2347
	阿鲁巴	0
	韩国	1982
	韩国	157
	韩国	3219
	韩国	272
	韩国	18237
	韩国	1413
	马来西亚	3134
	马来西亚	1382
	马来西亚	5500
	马来西亚	4377
	马来西亚	8085
	马来西亚	3457
	马来西亚	4448
	马来西亚	6429
	马来西亚	3582
